country,ssp_range,year_range,p0.05,p0.50,p0.95
Eritrea,SSP2-4.5,2040-2059,80.32,81.55,82.60
Eritrea,SSP2-4.5,2080-2099,81.65,82.78,84.07
Spain,SSP2-4.5,1986-2005,57.97,58.90,59.26
Spain,SSP2-4.5,2020-2039,60.21,60.84,61.61
Spain,SSP2-4.5,2040-2059,61.04,61.53,62.54
Spain,SSP2-4.5,2080-2099,61.63,62.82,64.34
Estonia,SSP2-4.5,1986-2005,40.46,41.78,43.13
Estonia,SSP2-4.5,2020-2039,43.63,44.46,46.69
Estonia,SSP2-4.5,2040-2059,44.25,45.69,48.77
Estonia,SSP2-4.5,2080-2099,45.56,46.88,49.96
Ethiopia,SSP2-4.5,1986-2005,72.47,72.79,73.02
Ethiopia,SSP2-4.5,2020-2039,73.79,74.27,74.78
Ethiopia,SSP2-4.5,2040-2059,74.32,75.22,75.94
Ethiopia,SSP2-4.5,2080-2099,75.37,76.31,77.47
Finland,SSP2-4.5,1986-2005,36.23,38.11,39.44
Finland,SSP2-4.5,2020-2039,39.97,40.79,42.90
Finland,SSP2-4.5,2040-2059,40.56,42.16,45.19
Finland,SSP2-4.5,2080-2099,41.71,43.36,46.43
Fiji,SSP2-4.5,1986-2005,77.64,77.83,78.03
Fiji,SSP2-4.5,2020-2039,78.65,78.86,79.30
Fiji,SSP2-4.5,2040-2059,79.08,79.38,79.93
Fiji,SSP2-4.5,2080-2099,79.44,80.08,81.07
Falkland Islands (Malvinas),SSP2-4.5,1986-2005,43.87,44.05,44.38
Falkland Islands (Malvinas),SSP2-4.5,2020-2039,44.47,44.75,45.25
Falkland Islands (Malvinas),SSP2-4.5,2040-2059,44.70,45.15,46.08
Falkland Islands (Malvinas),SSP2-4.5,2080-2099,45.30,45.74,46.95
France,SSP2-4.5,1986-2005,51.79,52.56,52.96
France,SSP2-4.5,2020-2039,53.92,54.51,55.47
France,SSP2-4.5,2040-2059,54.83,55.32,56.48
France,SSP2-4.5,2080-2099,55.25,56.55,58.16
Faroe Islands,SSP2-4.5,1986-2005,42.50,44.19,45.24
Faroe Islands,SSP2-4.5,2020-2039,43.93,45.96,47.41
Faroe Islands,SSP2-4.5,2040-2059,44.59,46.10,47.70
Faroe Islands,SSP2-4.5,2080-2099,43.57,47.01,49.43
"Micronesia, Federated States of",SSP2-4.5,1986-2005,80.15,80.39,80.59
"Micronesia, Federated States of",SSP2-4.5,2020-2039,81.30,81.51,82.05
"Micronesia, Federated States of",SSP2-4.5,2040-2059,81.84,82.10,82.98
"Micronesia, Federated States of",SSP2-4.5,2080-2099,82.33,83.03,83.77
Gabon,SSP2-4.5,1986-2005,77.06,77.25,77.45
Gabon,SSP2-4.5,2020-2039,78.35,78.59,78.92
Gabon,SSP2-4.5,2040-2059,78.99,79.34,79.81
Gabon,SSP2-4.5,2080-2099,79.53,80.44,81.24
United Kingdom,SSP2-4.5,1986-2005,48.30,49.46,49.92
United Kingdom,SSP2-4.5,2020-2039,49.49,50.81,51.78
United Kingdom,SSP2-4.5,2040-2059,50.33,51.33,52.59
United Kingdom,SSP2-4.5,2080-2099,49.96,52.12,54.05
Georgia,SSP2-4.5,1986-2005,47.77,48.43,48.99
Georgia,SSP2-4.5,2020-2039,49.90,51.38,52.01
Georgia,SSP2-4.5,2040-2059,50.57,51.99,53.00
Georgia,SSP2-4.5,2080-2099,51.75,53.63,55.20
Guernsey,SSP2-4.5,1986-2005,52.50,53.45,53.67
Guernsey,SSP2-4.5,2020-2039,53.82,54.82,55.94
Guernsey,SSP2-4.5,2040-2059,54.67,55.41,56.63
Guernsey,SSP2-4.5,2080-2099,54.43,56.10,58.00
Ghana,SSP2-4.5,1986-2005,80.60,80.73,81.06
Ghana,SSP2-4.5,2020-2039,81.53,82.15,82.42
Ghana,SSP2-4.5,2040-2059,82.32,83.04,83.64
Ghana,SSP2-4.5,2080-2099,82.96,84.19,85.03
Gibraltar,SSP2-4.5,1986-2005,62.21,63.01,63.56
Gibraltar,SSP2-4.5,2020-2039,64.24,64.92,65.87
Gibraltar,SSP2-4.5,2040-2059,65.09,65.76,66.60
Gibraltar,SSP2-4.5,2080-2099,65.65,67.01,68.58
Guinea,SSP2-4.5,1986-2005,78.48,78.64,79.10
Guinea,SSP2-4.5,2020-2039,79.56,80.22,80.56
Guinea,SSP2-4.5,2040-2059,80.09,81.14,81.62
Guinea,SSP2-4.5,2080-2099,81.02,82.33,83.18
Guadeloupe,SSP2-4.5,1986-2005,78.01,78.44,78.59
Guadeloupe,SSP2-4.5,2020-2039,79.37,79.76,80.15
Guadeloupe,SSP2-4.5,2040-2059,79.76,80.23,80.88
Guadeloupe,SSP2-4.5,2080-2099,80.36,81.12,82.28
Gambia,SSP2-4.5,1986-2005,82.01,82.20,82.38
Gambia,SSP2-4.5,2020-2039,83.32,83.72,84.10
Gambia,SSP2-4.5,2040-2059,84.04,84.51,85.23
Gambia,SSP2-4.5,2080-2099,84.59,85.82,86.82
Guinea-Bissau,SSP2-4.5,1986-2005,81.53,81.71,81.83
Guinea-Bissau,SSP2-4.5,2020-2039,82.63,83.09,83.43
Guinea-Bissau,SSP2-4.5,2040-2059,83.36,83.82,84.53
Guinea-Bissau,SSP2-4.5,2080-2099,83.96,84.93,85.77
Equatorial Guinea,SSP2-4.5,1986-2005,76.25,76.45,76.59
Equatorial Guinea,SSP2-4.5,2020-2039,77.52,77.73,77.98
Equatorial Guinea,SSP2-4.5,2040-2059,78.05,78.41,78.91
Equatorial Guinea,SSP2-4.5,2080-2099,78.55,79.47,80.44
Greece,SSP2-4.5,1986-2005,59.70,60.19,60.90
Greece,SSP2-4.5,2020-2039,62.17,62.77,63.59
Greece,SSP2-4.5,2040-2059,62.71,63.46,64.43
Greece,SSP2-4.5,2080-2099,63.44,64.76,66.63
Grenada,SSP2-4.5,1986-2005,79.04,79.29,79.47
Grenada,SSP2-4.5,2020-2039,80.20,80.62,81.10
Grenada,SSP2-4.5,2040-2059,80.78,81.11,81.75
Grenada,SSP2-4.5,2080-2099,81.20,81.99,83.03
Greenland,SSP2-4.5,1986-2005,13.27,16.20,16.74
Greenland,SSP2-4.5,2020-2039,16.69,18.46,20.76
Greenland,SSP2-4.5,2040-2059,17.49,19.20,22.17
Greenland,SSP2-4.5,2080-2099,17.84,21.19,25.17
Guatemala,SSP2-4.5,1986-2005,70.99,71.26,71.82
Guatemala,SSP2-4.5,2020-2039,72.50,72.87,73.33
Guatemala,SSP2-4.5,2040-2059,72.93,73.71,74.59
Guatemala,SSP2-4.5,2080-2099,73.50,74.72,76.34
French Guiana,SSP2-4.5,1986-2005,78.82,79.55,79.78
French Guiana,SSP2-4.5,2020-2039,80.54,81.02,81.54
French Guiana,SSP2-4.5,2040-2059,81.21,81.60,82.60
French Guiana,SSP2-4.5,2080-2099,81.76,82.63,84.31
Guam,SSP2-4.5,1986-2005,80.12,80.35,80.59
Guam,SSP2-4.5,2020-2039,81.25,81.52,82.04
Guam,SSP2-4.5,2040-2059,81.74,82.17,82.96
Guam,SSP2-4.5,2080-2099,82.31,83.03,83.89
Guyana,SSP2-4.5,1986-2005,78.17,78.72,78.90
Guyana,SSP2-4.5,2020-2039,79.69,80.29,80.88
Guyana,SSP2-4.5,2040-2059,80.46,80.99,82.22
Guyana,SSP2-4.5,2080-2099,80.93,81.98,83.26
Hong Kong,SSP2-4.5,1986-2005,73.12,73.33,73.68
Hong Kong,SSP2-4.5,2020-2039,74.41,74.87,75.28
Hong Kong,SSP2-4.5,2040-2059,75.11,75.82,76.50
Hong Kong,SSP2-4.5,2080-2099,76.04,77.11,78.23
Heard Island and McDonald Islands,SSP2-4.5,1986-2005,34.57,34.80,35.21
Heard Island and McDonald Islands,SSP2-4.5,2020-2039,35.15,35.66,36.20
Heard Island and McDonald Islands,SSP2-4.5,2040-2059,35.55,35.97,36.82
Heard Island and McDonald Islands,SSP2-4.5,2080-2099,36.33,36.83,37.81
Honduras,SSP2-4.5,1986-2005,74.76,75.13,75.61
Honduras,SSP2-4.5,2020-2039,76.32,76.66,77.32
Honduras,SSP2-4.5,2040-2059,76.95,77.54,78.40
Honduras,SSP2-4.5,2080-2099,77.50,78.73,80.05
Croatia,SSP2-4.5,1986-2005,53.25,53.93,54.60
Croatia,SSP2-4.5,2020-2039,56.04,56.51,57.74
Croatia,SSP2-4.5,2040-2059,56.54,57.42,59.03
Croatia,SSP2-4.5,2080-2099,57.34,58.74,60.62
Haiti,SSP2-4.5,1986-2005,77.44,77.79,78.01
Haiti,SSP2-4.5,2020-2039,78.85,79.13,79.71
Haiti,SSP2-4.5,2040-2059,79.39,79.84,80.84
