name,ssp_range,year_range,p0.05,p0.50,p0.95
Cyprus,SSP2-4.5,1986-2005,79.54,79.89,80.48
Cyprus,SSP2-4.5,2020-2039,81.50,82.21,83.05
Cyprus,SSP2-4.5,2040-2059,81.87,82.92,84.35
Cyprus,SSP2-4.5,2080-2099,82.75,84.32,86.15
Czechia,SSP2-4.5,1986-2005,61.79,62.06,62.78
Czechia,SSP2-4.5,2020-2039,64.15,65.13,66.03
Czechia,SSP2-4.5,2040-2059,64.79,66.38,67.83
Czechia,SSP2-4.5,2080-2099,65.18,67.46,69.16
Germany,SSP2-4.5,1986-2005,62.14,62.47,63.13
Germany,SSP2-4.5,2020-2039,64.16,65.15,66.06
Germany,SSP2-4.5,2040-2059,64.93,66.22,67.59
Germany,SSP2-4.5,2080-2099,65.36,67.63,69.60
Djibouti,SSP2-4.5,1986-2005,89.88,90.67,90.82
Djibouti,SSP2-4.5,2020-2039,90.83,91.95,92.83
Djibouti,SSP2-4.5,2040-2059,90.82,92.58,94.03
Djibouti,SSP2-4.5,2080-2099,92.07,93.74,95.62
Dominica,SSP2-4.5,1986-2005,79.01,79.50,79.74
Dominica,SSP2-4.5,2020-2039,80.49,80.81,81.23
Dominica,SSP2-4.5,2040-2059,80.79,81.29,81.86
Dominica,SSP2-4.5,2080-2099,81.44,82.04,83.36
Denmark,SSP2-4.5,1986-2005,59.54,59.95,60.77
Denmark,SSP2-4.5,2020-2039,61.24,62.51,63.52
Denmark,SSP2-4.5,2040-2059,62.15,62.99,64.90
Denmark,SSP2-4.5,2080-2099,62.41,63.88,66.37
Dominican Republic,SSP2-4.5,1986-2005,78.67,79.30,79.49
Dominican Republic,SSP2-4.5,2020-2039,80.44,80.87,81.42
Dominican Republic,SSP2-4.5,2040-2059,80.89,81.63,82.30
Dominican Republic,SSP2-4.5,2080-2099,81.41,82.66,84.31
Algeria,SSP2-4.5,1986-2005,80.46,81.17,81.58
Algeria,SSP2-4.5,2020-2039,83.52,84.13,84.85
Algeria,SSP2-4.5,2040-2059,84.33,85.43,86.78
Algeria,SSP2-4.5,2080-2099,85.00,87.12,88.83
Ecuador,SSP2-4.5,1986-2005,63.65,63.95,64.08
Ecuador,SSP2-4.5,2020-2039,65.12,65.41,65.89
Ecuador,SSP2-4.5,2040-2059,65.62,66.20,67.15
Ecuador,SSP2-4.5,2080-2099,66.01,67.33,68.79
Egypt,SSP2-4.5,1986-2005,83.21,83.66,84.13
Egypt,SSP2-4.5,2020-2039,85.73,86.44,86.97
Egypt,SSP2-4.5,2040-2059,86.47,87.34,88.73
Egypt,SSP2-4.5,2080-2099,87.23,88.79,90.37
Eritrea,SSP2-4.5,1986-2005,82.00,82.38,82.75
Eritrea,SSP2-4.5,2020-2039,83.17,83.81,84.81
Eritrea,SSP2-4.5,2040-2059,82.84,84.34,86.13
Eritrea,SSP2-4.5,2080-2099,84.28,85.81,87.89
Spain,SSP2-4.5,1986-2005,70.10,70.87,71.56
Spain,SSP2-4.5,2020-2039,72.47,73.55,74.43
Spain,SSP2-4.5,2040-2059,73.63,74.62,76.19
Spain,SSP2-4.5,2080-2099,74.32,76.37,78.44
Estonia,SSP2-4.5,1986-2005,58.80,60.00,61.27
Estonia,SSP2-4.5,2020-2039,61.20,62.66,65.03
Estonia,SSP2-4.5,2040-2059,62.23,63.51,66.75
Estonia,SSP2-4.5,2080-2099,62.82,64.31,68.35
Ethiopia,SSP2-4.5,1986-2005,71.91,72.17,72.44
Ethiopia,SSP2-4.5,2020-2039,72.95,73.65,74.22
