name,ssp_range,year_range,p0.05,p0.50,p0.95
Gabon,SSP2-4.5,1986-2005,77.98,78.18,78.54
Gabon,SSP2-4.5,2020-2039,79.16,79.48,79.73
Gabon,SSP2-4.5,2040-2059,79.84,80.20,80.74
Gabon,SSP2-4.5,2080-2099,80.41,81.29,82.09
United Kingdom,SSP2-4.5,1986-2005,39.89,41.07,41.79
United Kingdom,SSP2-4.5,2020-2039,40.84,42.36,43.64
United Kingdom,SSP2-4.5,2040-2059,41.73,42.79,43.76
United Kingdom,SSP2-4.5,2080-2099,41.39,43.34,45.11
Georgia,SSP2-4.5,1986-2005,28.95,30.70,31.50
Georgia,SSP2-4.5,2020-2039,30.68,33.24,34.56
Georgia,SSP2-4.5,2040-2059,31.80,33.75,34.99
Georgia,SSP2-4.5,2080-2099,32.63,35.04,38.26
Guernsey,SSP2-4.5,1986-2005,46.62,47.48,47.87
Guernsey,SSP2-4.5,2020-2039,47.39,48.65,50.19
Guernsey,SSP2-4.5,2040-2059,48.13,49.13,50.40
Guernsey,SSP2-4.5,2080-2099,48.19,49.78,51.72
Ghana,SSP2-4.5,1986-2005,80.95,81.46,82.37
Ghana,SSP2-4.5,2020-2039,81.92,83.10,83.58
Ghana,SSP2-4.5,2040-2059,82.67,83.87,84.79
Ghana,SSP2-4.5,2080-2099,83.46,85.12,86.15
Gibraltar,SSP2-4.5,1986-2005,55.16,55.47,56.15
Gibraltar,SSP2-4.5,2020-2039,55.94,57.17,57.67
Gibraltar,SSP2-4.5,2040-2059,57.04,57.65,58.64
Gibraltar,SSP2-4.5,2080-2099,57.81,58.81,59.98
Guinea,SSP2-4.5,1986-2005,77.95,78.32,79.35
Guinea,SSP2-4.5,2020-2039,78.91,80.24,80.71
Guinea,SSP2-4.5,2040-2059,79.33,81.17,82.02
Guinea,SSP2-4.5,2080-2099,80.65,82.30,83.43
Guadeloupe,SSP2-4.5,1986-2005,76.16,76.56,76.75
Guadeloupe,SSP2-4.5,2020-2039,77.48,77.90,78.38
Guadeloupe,SSP2-4.5,2040-2059,78.11,78.44,79.06
Guadeloupe,SSP2-4.5,2080-2099,78.54,79.40,80.42
Gambia,SSP2-4.5,1986-2005,78.61,78.79,79.31
Gambia,SSP2-4.5,2020-2039,79.97,80.68,81.35
Gambia,SSP2-4.5,2040-2059,81.04,81.38,82.50
Gambia,SSP2-4.5,2080-2099,81.61,82.76,84.31
Guinea-Bissau,SSP2-4.5,1986-2005,79.71,79.97,80.49
Guinea-Bissau,SSP2-4.5,2020-2039,80.74,81.58,82.14
Guinea-Bissau,SSP2-4.5,2040-2059,81.54,82.36,83.18
Guinea-Bissau,SSP2-4.5,2080-2099,82.32,83.64,84.67
Equatorial Guinea,SSP2-4.5,1986-2005,77.16,77.45,77.72
Equatorial Guinea,SSP2-4.5,2020-2039,78.46,78.74,79.03
Equatorial Guinea,SSP2-4.5,2040-2059,78.96,79.44,80.04
Equatorial Guinea,SSP2-4.5,2080-2099,79.49,80.54,81.41
Greece,SSP2-4.5,1986-2005,45.77,46.85,47.95
Greece,SSP2-4.5,2020-2039,48.20,49.32,50.22
Greece,SSP2-4.5,2040-2059,48.96,49.73,50.89
Greece,SSP2-4.5,2080-2099,49.16,50.77,52.53
Grenada,SSP2-4.5,1986-2005,77.85,78.10,78.31
Grenada,SSP2-4.5,2020-2039,78.98,79.39,79.84
Grenada,SSP2-4.5,2040-2059,79.66,80.00,80.54
Grenada,SSP2-4.5,2080-2099,79.90,80.92,81.79
Greenland,SSP2-4.5,1986-2005,-3.92,-0.48,0.84
Greenland,SSP2-4.5,2020-2039,-1.30,1.91,7.10
Greenland,SSP2-4.5,2040-2059,0.85,2.99,7.39
Greenland,SSP2-4.5,2080-2099,0.79,4.97,11.77
Guatemala,SSP2-4.5,1986-2005,68.35,68.61,69.26
Guatemala,SSP2-4.5,2020-2039,69.86,70.27,70.68
Guatemala,SSP2-4.5,2040-2059,70.40,70.95,71.68
Guatemala,SSP2-4.5,2080-2099,70.74,71.90,73.36
French Guiana,SSP2-4.5,1986-2005,77.94,78.55,78.98
French Guiana,SSP2-4.5,2020-2039,79.22,79.87,80.59
French Guiana,SSP2-4.5,2040-2059,80.13,80.65,81.74
French Guiana,SSP2-4.5,2080-2099,80.72,81.63,83.35
Guam,SSP2-4.5,1986-2005,79.51,79.73,80.02
Guam,SSP2-4.5,2020-2039,80.73,80.94,81.31
Guam,SSP2-4.5,2040-2059,81.16,81.71,82.36
Guam,SSP2-4.5,2080-2099,81.66,82.60,83.44
Guyana,SSP2-4.5,1986-2005,77.10,77.73,77.90
Guyana,SSP2-4.5,2020-2039,78.45,79.25,79.89
Guyana,SSP2-4.5,2040-2059,79.25,79.97,81.46
Guyana,SSP2-4.5,2080-2099,79.71,81.14,82.50
Hong Kong,SSP2-4.5,1986-2005,61.07,61.63,62.24
Hong Kong,SSP2-4.5,2020-2039,62.56,63.36,64.10
Hong Kong,SSP2-4.5,2040-2059,63.07,64.64,65.70
Hong Kong,SSP2-4.5,2080-2099,64.30,65.59,67.12
Heard Island and McDonald Islands,SSP2-4.5,1986-2005,36.74,37.10,37.40
Heard Island and McDonald Islands,SSP2-4.5,2020-2039,37.36,37.86,38.20
Heard Island and McDonald Islands,SSP2-4.5,2040-2059,37.71,38.12,38.57
Heard Island and McDonald Islands,SSP2-4.5,2080-2099,38.38,38.98,40.09
Honduras,SSP2-4.5,1986-2005,71.89,72.26,72.72
Honduras,SSP2-4.5,2020-2039,73.42,73.79,74.33
Honduras,SSP2-4.5,2040-2059,73.92,74.52,75.24
Honduras,SSP2-4.5,2080-2099,74.28,75.50,76.65
