Field Name,Country,Country_iso3,Region,Latitude,Longitude,Location,gwp,ch4_gwp_potential,Upstream Methane Emission Rate (NGSI Standard %),Upstream Methane Intensity (kgCH4/boe),Midstream Methane Intensity (kgCH4/boe),Downstream Methane Intensity (kgCH4/boe),Upstream Carbon Dioxide Intensity (kgCO2/boe),Midstream Carbon Dioxide Intensity (kgCO2/boe),Downstream Carbon Dioxide Intensity (kgCO2/boe),Total Emissions Intensity (kgCO2eq/boe),Total Carbon Dioxide Intensity (kgCO2/boe),Industry GHG Responsibility (kgCO2eq/boe),Consumer GHG Responsibility (kgCO2eq/boe),Sulfur Content Weight Percent,API Category,Enhanced recovery,Fracked,Dry Gas,Flaring-to-Oil Ratio (scf flared/bbl),Energy Output of Oil and Gas Produced (MJ/d),Energy Output of Petroleum Products (MJ/d),Breakeven Oil Price (usd/bbl),Breakeven Gas Price (usd/kcf),Flare Rate,Oil or Gas or Condensate,Resource Type,Sour or Sweet
Marmul-Rahab-Thuleilat-Qaharir,Oman,OMN,Middle East,18.1572,55.2703,Onshore,20,82.5,0.0,1.04653,0.00533,0.03218,40.46103,61.77804,404.51651,613.30408,523.09149,193.49476,419.80932,3.71913,Heavy Oil 20-23,1,False,0,124.40877,364666920.7351,342995813.81368,15.6,0.0,High Flare,Oil,Heavy Oil,Sour Oil
Marmul-Rahab-Thuleilat-Qaharir,Oman,OMN,Middle East,18.1572,55.2703,Onshore,100,29.8,0.0,1.04653,0.0052,0.03213,40.46103,61.47917,404.60601,557.42388,522.88212,137.77058,419.6533,3.71913,Heavy Oil 20-23,1,False,0,124.40877,364666920.7351,342995813.81368,15.6,0.0,High Flare,Oil,Heavy Oil,Sour Oil
Mars,United States,USA,North America,28.1697,-89.223,Offshore,20,82.5,0.3351,0.70137,0.00371,0.01979,15.37894,50.24516,380.23155,523.16998,464.63307,132.30812,390.86186,1.55547,Regular,1,False,0,8.39357,811953764.79237,679411480.24667,191.5,0.0,Medium Flare,Oil,Medium Oil,Sour Oil
Mars,United States,USA,North America,28.1697,-89.223,Offshore,100,29.8,0.3351,0.70137,0.00362,0.01973,15.37894,49.95669,380.30232,485.59195,464.41537,94.87198,390.71998,1.55547,Regular,1,False,0,8.39357,811953764.79237,679411480.24667,191.5,0.0,Medium Flare,Oil,Medium Oil,Sour Oil
Marun,Iran,IRN,Middle East,31.03771,49.4266,Onshore,20,82.5,0.81092,1.66214,0.00373,0.05859,67.05255,49.40306,372.09935,654.79733,509.83324,269.82951,384.96782,1.38748,Regular,1,False,0,442.4,1383138123.08033,1167948950.37334,9.85105,0.0,High Flare,Oil,Medium Oil,Sour Oil
Marun,Iran,IRN,Middle East,31.03771,49.4266,Onshore,100,29.8,0.81092,1.66214,0.00365,0.05854,67.05255,49.09068,372.16737,561.16475,509.58887,178.39819,382.76656,1.38748,Regular,1,False,0,442.4,1383138123.08033,1167948950.37334,9.85105,0.0,High Flare,Oil,Medium Oil,Sour Oil
Maylisu,Kyrgyzstan,KGZ,Central Asia,41.1679,72.4654,Onshore,20,82.5,0.0,1.28395,0.00813,0.02076,140.89917,35.69696,433.63916,726.0233,621.86556,287.35395,438.66934,0.14731,Regular,1,False,0,148.3,1636794.17382,1677768.58467,72.8,0.0,High Flare,Oil,Light Oil,Sweet Oil
Maylisu,Kyrgyzstan,KGZ,Central Asia,41.1679,72.4654,Onshore,100,29.8,0.0,1.28395,0.00794,0.02071,140.89917,35.47031,433.67638,657.54397,621.67613,218.99423,438.54974,0.14731,Regular,1,False,0,148.3,1636794.17382,1677768.58467,72.8,0.0,High Flare,Oil,Light Oil,Sweet Oil
Mazalij,Saudi Arabia,SAU,Middle East,23.9218,48.2399,Onshore,20,82.5,0.0,1.03357,0.00447,0.02153,38.08013,57.19963,377.4475,570.27452,486.58621,181.6127,388.66182,2.43981,Regular,1,False,0,57.61669,459359726.03847,424636839.36544,6.6,0.0,Medium Flare,Oil,Medium Oil,Sour Oil
Mazalij,Saudi Arabia,SAU,Middle East,23.9218,48.2399,Onshore,100,29.8,0.0,1.03357,0.00436,0.02146,38.08013,56.84391,377.53037,515.06732,486.31336,126.59478,388.47253,2.43981,Regular,1,False,0,57.61669,459359726.03847,424636839.36544,6.6,0.0,Medium Flare,Oil,Medium Oil,Sour Oil
