country,date,sector,MtCO2 per day
India,04/01/2023,Power,4.20393
India,04/01/2023,Residential,2.54038
Italy,04/01/2023,Domestic Aviation,0.00505682
Italy,04/01/2023,Ground Transport,0.228966
Italy,04/01/2023,Industry,0.115263
Italy,04/01/2023,International Aviation,0.0264463
Italy,04/01/2023,Power,0.225487
Italy,04/01/2023,Residential,0.28346
Japan,04/01/2023,Domestic Aviation,0.0275513
Japan,04/01/2023,Ground Transport,0.462182
Japan,04/01/2023,Industry,0.515777
Japan,04/01/2023,International Aviation,0.0349472
Japan,04/01/2023,Power,1.37477
Japan,04/01/2023,Residential,0.640894
ROW,04/01/2023,Domestic Aviation,0.193988
ROW,04/01/2023,Ground Transport,6.58359
ROW,04/01/2023,Industry,9.87115
ROW,04/01/2023,International Aviation,0.677272
ROW,04/01/2023,Power,8.18542
ROW,04/01/2023,Residential,4.87087
Russia,04/01/2023,Domestic Aviation,0.0426066
Russia,04/01/2023,Ground Transport,0.573166
Russia,04/01/2023,Industry,0.644747
Russia,04/01/2023,International Aviation,0.0160615
Russia,04/01/2023,Power,2.6271
Russia,04/01/2023,Residential,0.810072
Spain,04/01/2023,Domestic Aviation,0.0161155
Spain,04/01/2023,Ground Transport,0.279055
Spain,04/01/2023,Industry,0.215455
Spain,04/01/2023,International Aviation,0.0535067
Spain,04/01/2023,Power,0.100372
Spain,04/01/2023,Residential,0.151903
United Kingdom,04/01/2023,Domestic Aviation,0.00528629
United Kingdom,04/01/2023,Ground Transport,0.329909
United Kingdom,04/01/2023,Industry,0.0561254
United Kingdom,04/01/2023,International Aviation,0.0771569
United Kingdom,04/01/2023,Power,0.0588591
United Kingdom,04/01/2023,Residential,0.229523
United States,04/01/2023,Domestic Aviation,0.407333
United States,04/01/2023,Ground Transport,4.369
United States,04/01/2023,Industry,2.51865
United States,04/01/2023,International Aviation,0.180446
United States,04/01/2023,Power,3.82781
United States,04/01/2023,Residential,1.67575
WORLD,04/01/2023,Domestic Aviation,0.884077
WORLD,04/01/2023,Ground Transport,18.2407
WORLD,04/01/2023,Industry,30.5085
WORLD,04/01/2023,International Aviation,1.3687
WORLD,04/01/2023,Power,39.3257
WORLD,04/01/2023,Residential,16.3928
Brazil,05/01/2023,Domestic Aviation,0.0361125
Brazil,05/01/2023,Ground Transport,0.456587
Brazil,05/01/2023,Industry,0.281832
Brazil,05/01/2023,International Aviation,0.0167358
Brazil,05/01/2023,Power,0.100892
Brazil,05/01/2023,Residential,0.0984519
China,05/01/2023,Domestic Aviation,0.126265
China,05/01/2023,Ground Transport,2.54477
China,05/01/2023,Industry,12.9667
China,05/01/2023,International Aviation,0.0225445
China,05/01/2023,Power,17.0283
China,05/01/2023,Residential,3.39906
EU27 & UK,05/01/2023,Domestic Aviation,0.0368759
EU27 & UK,05/01/2023,Ground Transport,2.52432
EU27 & UK,05/01/2023,Industry,1.53688
EU27 & UK,05/01/2023,International Aviation,0.408069
EU27 & UK,05/01/2023,Power,2.09089
EU27 & UK,05/01/2023,Residential,2.05512
France,05/01/2023,Domestic Aviation,0.00451604
